* Klijenti:
(3.6924020418791486, 7.872541714328975)
(-7.232966280134782, -5.399065732608223)
(2.6763446470255676, -4.777210712741864)
(-4.960902599816515, 4.217412055673295)
(-8.722853345076482, 9.320945668063551)
(-1.8301603002589069, 0.46705012509363364)
(-0.2619118771458204, -4.023530988101472)
(5.753276949995179, -2.925841042094084)
(-8.992374084875676, 3.577402838446691)
(7.1367071054451365, -7.172463910423959)
(-0.046942293063207075, 0.7001995859863399)
(1.0251145758574687, 6.134371316327126)
(-6.671037464052583, -4.334475283524528)
(2.550009179865196, 0.4378698121599527)
(-1.4328300897534056, -9.550250462294477)
(2.818774564281835, -9.85568907203917)
(-2.8961221249607743, -3.9657368191700453)
(5.50690996909475, -1.5430442356804193)
(-9.732069160850486, -7.690612013313487)
(-1.3879503374799995, 4.254329633360747)
(3.6678473057096035, -4.1820121539224715)
(8.96300931467502, 1.7495556543705746)
(-8.993702537817702, 0.08609537128835854)
(-0.05842743865550837, -5.206889708685982)
(4.780191429465308, -6.029425956762511)
(-2.8202689405599024, -0.1648117480061977)
(-4.6565120735493615, 5.9664957916393)
(6.644509584335157, 1.4504863285218619)
(0.26091479237049064, -4.053197067239029)
(0.0640257489727798, -7.088740480504647)
(0.10662523309258276, -1.8002510647407295)
(4.986251465692524, 6.93013947458871)
(7.687791437844748, 9.632588659919609)
(9.30261268046333, -1.082522454426675)
(3.14636631360683, 1.6194503636636668)
(-6.86770366768026, 4.204391690899822)
(-8.362100941231414, 1.4181195236812432)
(4.587653310680729, -0.3992156387134713)
(-6.5458836102866, 6.314467531614113)
(-1.7290957542910057, 4.917130647021427)
(4.915212221629957, 9.586079501696695)
(9.65810158569655, 2.9111458502948615)
(5.886773146870752, -1.6716563015245818)
(-4.497391063773167, 3.0771145086939544)
(-6.554691556248562, -5.4966164071736205)
(7.104082020917815, -8.998424642516948)
(-8.599788760155626, 0.5928227809781799)
(6.35964290993099, -5.750961575418925)
(2.38238391448251, -7.004881525104372)
(5.702854552040868, 6.474947850177095)
(0.14682671254084667, -9.561790383179824)
(3.2583502652966736, -2.8512505081359896)
(1.977833596262883, 5.954982790542331)
(-0.2856094539056855, -0.9707435981813397)
(-4.586382329842367, -7.686094121459575)
(5.096138275948526, -6.221381697501025)
(3.291879989676879, -5.872297373494315)
(1.9238913760313547, -6.3981979662514155)
(4.695240860643901, 8.04030911854138)
(3.722523025629398, -7.257044127745818)
(-5.198375159162174, 6.647515375131725)
(-0.08625763828300315, 4.936075022160196)
(3.2462560715209836, 5.802784137445611)
(1.7895247620522063, -7.8777301501762516)
(-8.904631992921546, 1.1961379726375743)
(6.457495571079203, -5.89397617036685)
(-5.36162944314627, -6.623930769235262)
(-3.5963631646813106, -5.308573288049363)
(6.290701173812067, -1.2535329947109375)
(-1.3986298540137572, -5.631833987812804)
(-7.549386026334311, 2.620397057527189)
(-9.489951394125297, 7.151108733402133)
(-7.251796061708859, 2.9386491028493786)
(4.74653192148174, 7.0067040470285065)
(-2.5811471150539216, -6.106164386641777)
(-4.0266486717172345, -6.5314444947772525)
(9.956413948268384, 6.600386719269025)
(3.3919214612468718, -3.6296273099142713)
(-4.732620090129565, -1.8571581085553888)
(-4.211760740080193, 4.139131790666312)
(2.752196892041317, 3.388259943765066)
(-0.8440619722113532, -8.930203852543102)
(-2.415651108546202, 1.53105853719563)
(-1.1871380922344485, -2.6475349104559998)
(6.606859956521252, -0.5137609800046121)
(5.265860249775457, -1.1245342798668574)
(0.7167618479879874, -7.767681345029224)
(8.884296952270304, 3.0010415164374056)
(3.7974501869779242, -7.656647825157923)
(0.6003882035899899, -0.4906513956628462)
(-0.8745606143174172, -7.829340063859158)
(-8.990756225195772, -9.205486993351904)
(-7.661964146291858, 2.169371588727154)
(-2.7640722539113094, 4.395057581549363)
(-7.073200986882089, -0.6838486721173247)
(-8.69319511286319, -0.7519611685791183)
(7.6990903496321685, 2.3083002441717397)
(-6.9906828989581165, -7.896186846165798)
(-9.86816794799632, -6.058407098373982)
(4.733766593666891, 1.5178761375443877)
(-6.521225465787833, -1.058392886074195)
(-0.6441073329505631, 1.377314930872613)
