* Klijenti: --- 1,4423558712005615 seconds ---
(3.577692723848431, -5.052721053526974)
(8.60796957417499, 3.9597903832899757)
(9.672469329430733, 7.359339443854736)
(5.686997863230623, -7.355699958192141)
(0.03120198884109726, 8.593123268013557)
(6.578568223682069, 0.5325166492351201)
(0.7406524939478487, -0.8312499469927115)
(8.03976814595326, -6.5881966970532595)
(-6.498269689623795, 2.307496045486541)
(3.996910402107128, 7.550075010485283)
(-2.283002044294946, -0.6985079840046087)
(9.558067300218237, -3.382697162805197)
(-4.747887835198155, 0.5333345872237061)
(6.283074666385673, -2.4552506769333586)
(3.345113258756733, -0.4682619100032177)
(7.734917446448982, -9.49180210772063)
(-9.48152346972864, 9.1450521777843)
(1.4705812420907964, 2.7954071078048415)
(-0.12781182445544204, 4.380116711673118)
(-2.71006708799532, -1.2059898077178932)
(1.0657456349696979, 1.3766704112767627)
(2.718624497065008, 8.792857594954423)
(7.787842368065995, 7.1706540006921)
(-8.72626549998734, 2.7872482222187784)
(-3.5902803868878186, -2.171583349184692)
(3.5137589124771686, 1.9151325204897862)
(3.8802019682519155, 6.048307703515466)
(6.388428894311922, -8.056579715693)
(7.734637062648829, -9.445919097448797)
(6.147985497583271, 4.509931603710772)
(0.6235751877005242, 1.9271870033147742)
(-7.103404538172729, -8.273537636707024)
(8.859243588592602, 8.868842449803122)
(7.401566184469342, 4.9936127634494625)
(-9.155001718894958, 3.407403435862994)
(-3.474033180300882, -9.984365408876197)
(9.087074976790571, -0.26926245029547324)
(-9.998205027994072, -1.5219472541099481)
(-3.093077746229092, -2.795263752068429)
(-9.47106533165253, 8.926147042492921)
(-4.957546659070633, -1.418769928102508)
(-3.94631251351443, -0.426318174081608)
(-6.319006788845303, 5.018314780419367)
(-7.7149523273350695, 7.06416765020662)
(4.500633012294038, 8.855774418718553)
(-6.5302395807313385, -2.2613934201263746)
(1.1758948267616116, -7.237220766177741)
(-2.645243979713503, -1.046973080483804)
(-7.5082218543299035, 2.8227084473709763)
(-4.199899251505396, 8.261188077524054)
(-6.352564178882398, -4.182175674190174)
(6.591625428934073, -7.848062170775858)
(9.400034726471741, -3.5638612055161616)
(-7.642596796314316, 4.259822252370043)
(-6.164054864375581, -9.647840371787009)
(-7.186477970527079, 9.751870435553997)
(5.2282148065512235, 9.76297145686533)
(-2.233670398742202, -3.057661372096505)
(8.514544441825997, -9.528165831209138)
(-5.685411475261231, 0.34815128960044817)
(-4.894937374583687, 3.3689165966408385)
(-2.77197791569769, -6.604493528330744)
