* Klijenti:
(-4.146397708654734, 8.886494368719802)
(2.4429385279392246, 7.773162232165824)
(7.3845561461960365, -2.8686823231900016)
(0.5776430137513184, -9.162214389373629)
(-7.035886464444743, 8.10013371281492)
(1.5016036709465652, -7.33414743568745)
(1.3063591713160108, 8.497816552872418)
(5.357282910765493, 4.980084369541233)
(-7.010633069729257, -5.405537178272379)
(9.63766472248334, 8.794662625028039)
(2.3567769176540754, -0.5936435398462798)
(0.39049688839890173, 6.725768507561558)
(-1.5337964383423923, 6.363696763335454)
(7.957718548811641, -2.58894600440642)
(1.419919795911035, 4.2099821746294666)
(-6.505990374336033, 0.006829542260950561)
(-1.7707705643001592, 6.071476896119378)
(-5.890387524832709, 4.8728231543036244)
(9.467979107332305, -1.6433719018835031)
(-3.615573598209325, -9.528501903695929)
(5.400760238567559, -7.78601176330209)
(1.2965005465984607, -0.5890746776251969)
(-6.915046027172842, 3.2786283414734676)
(9.704114980486594, 9.68408174421604)
(7.961714533815162, 2.19434017893143)
(-6.198022787083374, 1.965247215327281)
(1.282083082032246, -1.7913333922516887)
(-3.7499505016613366, -1.8525004914205407)
(8.493229602701913, -0.47548354561003947)
(-9.697416934252175, -2.791955005099515)
(1.823853000242865, 5.841893342102459)
(-3.7421576894889474, 0.8958434807079545)
(-9.944146189265801, -8.03314472384142)
(-7.619461873097359, 8.046471258283532)
(6.238836941457148, 0.6012780127313615)
(-7.024644439738119, 7.8563393342659005)
(7.254417401562982, -7.450240108878359)
(3.9011962541569254, -2.954316008526769)
(-1.4362257955760818, -4.781311160000287)
(5.408355359466414, 8.486458087705941)
(-8.80113848736405, 5.594423566578126)
(6.809605211274466, 3.0125984689479797)
(5.551985044039958, 7.562547066283919)
(4.14426725805933, 4.244208700338882)
(2.8249382336713307, -2.904759208718408)
(2.39371005770524, 9.27839662031279)
(3.827486030693038, 1.1357923600138413)
(3.0213698973737007, -6.172489367251752)
(-9.653816936100823, 9.512648987308829)
(-9.13258377781029, -7.815475825916338)
(-4.134469042781259, -3.0269526163054516)
(-7.466942830532634, 9.299443056776262)
(5.598252701420815, -7.137357789892816)
(-3.3117962315126963, 8.868220522033457)
(-3.071891574522212, -8.0535240694817)
(-4.205965415256605, -9.229150847620852)
(0.6296112405531957, 1.9281104270041656)
(-9.088954615123683, 8.231493198435874)
(6.880265097239679, 9.34819721414108)
(4.367703095844533, 7.070752661079293)
(4.918983646012279, -8.903158998032604)
(6.874031349432229, -6.344681325761481)
(-5.600626115112637, -2.21207502649335)
(-2.282927044610852, 3.4351076609696065)
(7.2672889802867715, 5.8238867461701975)
(-7.246218221553685, -6.10469257812738)
(0.09241459218151071, 9.104424755046786)
(0.29881371217086183, 6.905759178728584)
(3.1634618399748895, 4.40811313943242)
(-4.15435453629418, -7.213418851169989)
(-5.733046624118714, -7.700331190537559)
(-6.42125396107253, 7.342782813313946)
(3.4088621462917317, 4.219463245813275)
(1.2160403893536387, 1.8523932905103901)
(-3.4100033755428427, 1.9780261199952633)
(-5.620670626730311, 5.021998643354282)
(-2.1592396329974894, 1.9132018035024974)
(-9.737019000902983, -4.072948515432717)
(2.846501038580767, 6.903279107054981)
(4.762931084390958, 1.654910372988601)
(-2.4452126153055476, -1.7447727778348359)
(9.814561343047657, 3.6047750796026)
(-8.608718123623149, -8.925959965514568)
(-1.6518087149088068, -9.82885325462165)
(2.90988763166032, -2.521620916857641)
(1.3117235419963968, -9.410604164316688)
(9.449084026962108, 7.174224767864523)
(-0.009958042087523822, -5.860583171839188)
(-0.40022750018751907, 0.28833147816497195)
(-7.853778680160579, 1.3783123785032192)
(9.68445731821426, 0.6252204727594588)
(1.9198106111802904, -8.744552108556945)
(7.105190187896401, -4.5482525143318675)
(-7.977181258835335, 8.915456060072906)
(-6.719040697444683, 5.9102807647382445)
(-2.3657260331951058, 3.4425308273085733)
(8.510796814253425, -9.354441300005776)
(4.045908101098217, 6.251266820205917)
(2.4909863611786065, 5.769105234622421)
(7.103868008957129, -8.71923723878021)
(2.9158041487869575, 2.97626043611716)
(8.870131353954033, -7.46750395475954)
(9.845448588705196, 6.975653446960919)
(5.831171684410204, 8.415096011578559)
(6.578329480325046, -3.034112605412698)
(4.524846403602119, -5.763916375513443)
(-6.4342890815515075, 8.134210033104882)
(-8.11992630444969, 2.161708983292346)
(8.57055652480787, 8.416655733033842)
(0.6987393716133212, 3.855261792579883)
(2.9189516412908194, -8.216801892842325)
(2.196369356539396, -3.7491968904064716)
(8.837024972399895, 2.1974224162112126)
(7.787193608919768, 5.981955762281338)
(-2.3193896828697973, -4.267778118519654)
(7.3300583652348905, 4.119649566837392)
(-2.32905686643411, 3.8530781917945554)
(8.252341956627522, -2.6702222125036563)
(2.8703338884055167, 4.848854749051075)
(3.9861395777885775, -0.453248524221312)
(-1.027438815340565, 5.865510004325806)
(8.420984324577407, -7.341659851157106)
(-3.9492012091812168, -7.198761890423397)
(3.813401326872105, 6.676318361363499)
(6.435916906675402, -3.973705376076122)
(5.213805530560041, 1.4082310681304904)
(-7.1010200359551545, 1.842932159607571)
(7.153266729447022, 7.9499221318569155)
(-5.080000020341265, -3.2850019332460656)
(-9.91498425907112, -4.702449622940006)
(-6.408853717591423, 9.766901237818082)
(1.3035486856700764, 4.778022920231733)
(-5.9078494401579285, 5.339474719421261)
(3.032624338571697, -4.927612618507606)
(3.0279698128273367, -2.884064371560129)
(-2.7745790401061754, 2.5205977311762204)
(9.878724725818852, -6.742334631702338)
(0.17862612426350744, 2.8899919542878187)
(8.821486942288871, 7.610893985699164)
(-0.8287136794670467, -6.7606108389583275)
(7.0022158906787695, -4.030480299666039)
(7.306247970909226, 1.2362981798714596)
(-4.561945251920003, 8.657318745570151)
(-6.423671785164058, -4.941992734683502)
(2.478335604100831, -8.651538693730938)
(4.822660678728628, -8.874058103757418)
(-5.303498295605045, -4.699263637489279)
(8.264705642093745, -9.882114115731389)
(1.864156136711447, -7.051764148024986)
(-0.5554704691403582, 5.898252556838187)
(2.9568606833282107, 5.764389031596886)
(-9.932597929867429, 6.050403489879194)
(7.85771758324427, -3.158147315363573)
(0.62310805726014, -6.112737698944901)
(-1.3032754121620087, 4.0168702985286195)
(8.46456703074552, 6.165096134371012)
(4.955603407198048, 0.43048555251786524)
(-4.914228164796819, -1.988366281491734)
(-0.17691389081306497, 3.8998603138100396)
(-7.54121498596712, -6.872062668077755)
(-3.1022779686583357, 6.036276467703093)
(-0.22228548359643696, 8.17792969233528)
(-3.3513985088368248, 9.63403456013316)
(6.017541107520433, 5.618834530350853)
(8.196865534274021, -1.677310466265748)
(4.618951413612976, 9.991609273344622)
(-9.29375442008627, -4.7197662988141476)
(4.378147286298844, -6.559482822702822)
(-9.134993503688008, 6.378707124426171)
(1.3501322305220675, 1.5647564128382783)
(9.006886086404247, 7.67317288612627)
(5.647186789010114, 6.063757023306543)
(4.781935892419453, -4.764718582250065)
(6.271918136337856, 6.232448673218077)
(6.771984287925431, 6.413062436702091)
(-5.837819553880652, -6.504086739089534)
(-0.09679020700204077, -3.0400809731126692)
(-2.071844732508545, 1.5073829370047882)
(8.016513010998807, -9.053216720329411)
(8.743642882346506, 2.302563404238702)
(-4.470504460991367, 7.147914925794204)
(2.3413565109653245, 9.681649397440765)
(-3.513720364470359, -7.91259683034748)
(-5.101892724993517, -3.0999018373027054)
(3.3875777280560477, -2.8599904588153713)
(1.2309269363124553, -3.023426914606273)
(6.826493508824008, 7.142275779324937)
(0.13738943376266377, -1.3291275339192197)
(3.8426514876134394, 0.06627908125847348)
(8.9195753220475, 6.430161363180577)
(-3.389501354001072, -4.324501443567934)
(8.957187297584323, 5.330735794160633)
(8.29007599619112, 2.811927048167428)
(1.7167856951755684, 3.8433448948085136)
(9.493814495704115, 5.839458649358942)
(-6.900142248119845, -8.275569155617719)
(7.825367265967472, -6.934547299557967)
(-2.082166218159289, 5.904149364063819)
(0.546245211309234, 4.794447378599848)
(-4.477526885549425, 1.5191989433412694)
(0.07766098473786798, 4.0638234192782505)
(1.0293562374585097, 3.846878872499186)
(1.1776435470177518, 6.172398614473316)
(8.826005684492436, 1.9958530939080639)
(-8.190748299830794, 6.203038909002444)
(1.6845055489180378, -5.32464221746634)
(9.930522543601864, -2.5316454477589385)
(6.587573162376028, 2.5512867664116694)
(0.14980958582165727, -4.71643846931541)
(2.3944619523374797, 1.0519195703449498)
(-6.69591297445379, 6.33911934527681)
(6.860306574808309, 8.816429843155198)
(3.2274400058194814, -2.039633949023221)
(9.499785653888942, -6.238344967779355)
(8.254822059960137, -8.60743442666009)
(-7.19149135133454, 0.5549644292793428)
(0.8833942636778591, -1.9445532815007933)
(3.5393430627950355, 0.1373210058328702)
(-3.2126807453981154, -2.4295810175274957)
(4.518630167638914, 5.54613331184332)
(1.414140317139804, 6.999491180768047)
(-4.850605943038284, -6.36420912116612)
(9.831640063591998, 5.660099517772288)
(8.040049010444221, 1.89123322149414)
(-3.2897855722167275, 5.53874417594438)
(1.6844571493417213, 8.840799756682717)
(-1.615776179903552, 5.5761742542123205)
(0.9549325367232662, 2.303975240266844)
(-5.72199310485046, 5.833939226753294)
(-3.831365236184247, 3.157890284648575)
(5.275634414798521, -3.4053609806596974)
(8.78572071480874, -6.6261197433402135)
(1.8794316735359757, 0.09494713823644219)
(-8.010533117214395, 3.455013865916591)
(-0.3370833665831814, -2.801132581676722)
(5.0709048090589, -5.274844285515739)
(6.869002135141656, 3.402641314547621)
(-2.863866900011523, 6.9318200175603515)
(8.245036594723693, 9.843252230358367)
(2.7097118537939906, -3.3903666754139756)
(3.2910597472377034, 2.0438968407441926)
(4.614822889312197, -1.4156771056602775)
(8.5728613384629, -5.194061473155123)
(3.9040061621251816, 7.752910905431939)
(1.3737469408292657, 8.987101746590383)
(-4.9259921424660735, -7.255872111072648)
(-9.04865258266921, 7.98223141801736)
(-3.367623139471374, -5.40649565939389)
(4.01424637226407, -2.278205195192573)
(-6.212053167548806, -2.558673784913495)
(-2.17418584201007, 1.3524469384811653)
(5.910519708495563, -7.130989785420072)
(2.8305533414921165, -0.579083298269552)
(-7.060262763649936, -3.060169151925505)
(-8.84840503949922, 3.309843013864846)
(-4.673803928766887, 0.6437137573755294)
(-8.359948586889907, 6.524748408150792)
(2.512097940404793, 1.404471633760128)
(9.06262209784353, -2.1253514074448665)
(4.232298833835062, 7.790220821151689)
(8.589102600994277, -1.4365014340135307)
(5.922295262096764, 0.9419151822312131)
(2.560064910632427, 6.388623603822605)
(1.1904434819009815, 1.8481584470166545)
(3.0867269472334478, 4.158837763344913)
(1.7719985293023477, -7.8593479980299)
(-9.786120773878777, -4.834810539153223)
(1.9380498284019048, -4.941318309911679)
(-2.8587931248894316, 0.7282081021837463)
(1.8253665257888372, 5.189435966467988)
(-6.848528110359171, -1.7289509505133172)
(2.2286612391460636, 5.73836320785481)
(-9.967609892598222, -6.38250837620268)
(-0.3083841744660081, -5.945905263209125)
(2.3163047681937616, 2.478176609569287)
(5.752207423086846, 8.395336205422922)
(4.326890740352544, -8.435271711481526)
(-2.3208809838819766, 2.910956745908905)
(-5.477838005907767, 0.6867570716204359)
(7.343228390826965, -3.5280923167529377)
(-6.7873216805586, 0.23106970570559682)
(2.7064565490063295, -1.7819009513726751)
(-1.4857260678834283, -3.987823851621604)
(8.36187475594065, 0.5255149305162341)
(0.02626302411690773, -9.332636660313396)
(-0.825792991839883, 8.486070561316168)
(-2.2543368590125574, -9.106889085738297)
(-5.288789440951998, 9.64500319224722)
(-4.606799507298486, 9.773310011755242)
(-0.9377314732699169, -4.370263065850095)
(-8.558194999290533, 8.311740193067209)
(-1.9766108473997512, 5.2103334743180945)
(0.5503516377673137, -9.157703706798205)
(-2.604724052957163, -2.9391912043046293)
(7.157703445383476, -9.793129770639606)
(2.2494213950040187, 0.5352818492236526)
(5.43545743193433, -3.598807673587288)
(2.9160698499789106, 9.078745759584748)
(5.3883632347518535, 8.966317374929766)
(0.9487395946615997, 5.723549890329355)
(-3.5075907894419966, -7.051680695414245)
(0.5339899817299436, 6.589154566711549)
(-7.843737515954727, -6.711034211009899)
(-6.550622877386223, 6.237695490278352)
(-4.543634247703229, -0.6694089629707367)
(-6.400471406289521, -4.070344048572396)
(-2.491001691911247, -2.982201058551148)
(-0.6676742675560376, -5.170680777142492)
(9.18979180469708, -2.3561741088944714)
(7.334539716352946, 0.7190380546299977)
(5.961950085359346, -0.28174007516736665)
(-3.1981143530339313, -9.426240387791607)
(-3.6170191353860925, -9.602715511829583)
(0.5095278459182779, 7.275772595752915)
(4.985717814097937, -1.8336544964437085)
(-5.831142480043883, 8.353580236947323)
(3.0291011110875328, 4.9031275390120115)
(1.1907975899073886, -7.514378409527884)
(9.432970639050694, -7.521797290173784)
(-1.4214208677420466, -4.603330917128079)
(-3.4377940559691123, 0.6504874488096473)
(4.04123540810599, -6.041132710624735)
(7.74959618799549, -4.235242678871877)
(3.6420601656417197, -5.856368370319998)
(-7.744278502843464, 8.332359401843057)
(-7.692736996166647, 2.102372303518278)
(-5.783296816534104, 6.559725839860331)
(2.6669668551355734, 5.815923190079612)
(9.492831993120237, -5.432010154670806)
(7.115420351311826, -3.336501573834947)
(4.731921706230143, 9.942768657299514)
(3.939630481082661, 4.281637714054241)
(-6.605516668247606, 0.3636880168648542)
(-2.657450220721838, 3.3475215016735316)
(4.98487905368461, 3.6370626007109372)
(-9.950065584142235, -6.925656424600957)
(5.449308808891297, -7.71445406679943)
(-7.6700962604910705, -8.997178996671618)
(-5.77264399781555, 6.958586681160156)
(-8.76585983090071, 1.8553842049806217)
(7.141789200768137, -7.501754560852381)
(0.739565733460747, 5.699310597888726)
(8.207269488333832, -7.55918192504609)
(8.595061422004356, -6.477869999893815)
(4.618862970517586, 3.6432532125597987)
(9.105478707358085, 8.703616645209983)
(3.044833861980889, -6.705042271062864)
(-1.2972633707750862, -4.83569743983953)
(-8.001655902629734, -6.9929735356410605)
(-5.517917562014514, -7.622826793488602)
(-8.837786086925409, -3.9664528018226886)
(-3.461267265084736, -9.59024603656588)
(-0.12097277443389842, 0.7580761535266021)
(6.837386864732149, 4.483674744745736)
(8.3583915944592, -7.295508100467016)
(-8.475781835950894, 7.994986873341329)
(9.756627580357943, 6.482497375416816)
(1.582870242305443, -0.8299626833211349)
(-3.650669070563195, 6.060229055411149)
(-1.7311539096463804, -4.942503299723833)
(4.854245156629746, -8.474683045725314)
(8.274167382150075, -0.9735492704482454)
(-6.916247278328873, -6.101362801662546)
(4.5447642276214495, -3.6130726573810072)
(1.9438860384183965, -1.2879784423908482)
(-7.138448289441481, 9.068198765073817)
(-8.08862101837108, -1.5737899940644855)
(-2.349617372698778, -8.474400746982795)
(-8.02130083142474, -2.1650874288771504)
(9.905606053333113, -4.304717106877116)
(4.737273143182916, 2.9062401470217303)
(8.596458489293703, -7.597006835851678)
(5.6601949649309535, 2.592317095321663)
(2.833285156148568, -7.451834299521969)
(0.46833694358575073, -2.5241516084752185)
(7.36188812690278, 4.599340291826131)
(-8.697697954735448, -4.56540488637581)
(-6.0756226715666735, 9.919403942340733)
(0.502589191541178, 8.717409228645522)
(0.25906751783418613, 0.2964470176660221)
(7.539769785374499, 1.2776519158555555)
(-3.175957372098603, -3.6790612235699838)
(7.0097468637689815, -5.588531313271901)
(-6.9495701491489985, 1.4625740940175458)
(0.6140818222777078, 9.057637733766114)
(-8.140887978087513, 1.4558487400669478)
(-5.034872569972748, 8.305826849011716)
(0.7568732229517572, 7.6600447666275)
(9.141819275266883, 7.442245445977733)
(-8.678947103117341, -7.994929533504449)
(-6.9997653880559385, -0.6225895551549101)
(8.752041366104642, -9.112534851858653)
(-7.400110366970917, 8.35224027159153)
(1.5234704025068524, 7.77567852112848)
(6.926775221608068, 3.4002076599492277)
(0.7670027771578383, -5.370690399909892)
(-5.053501724209624, -8.10477841238283)
(-7.515437067492671, -5.85822283607415)
(8.775325480217685, -0.33948065294350904)
(-8.092320349289997, -8.35994881532777)
(7.996450805079146, 9.90630589198335)
(8.386057715489102, -5.84297783119329)
(6.912859523192754, 6.276444722531277)
(-2.063837126549619, -0.8694334958938619)
(9.707313592811708, 5.765815862639993)
(-9.764248186634239, 1.425394163304075)
(7.671690121418898, -3.425154412552766)
(-2.1967019202241422, 8.91335935909457)
(-9.08314154871462, -3.968598405859969)
(2.830813279335416, 0.9110129041902262)
(-1.929259282667939, -6.064616641323546)
(-1.6793879512610221, -2.5905585570828578)
(-6.172548570408159, -5.034015536917669)
(6.237636130554332, 8.250223124376113)
(4.098165850700649, 1.7666316990373794)
(-0.4132799708361219, -0.03354820300715211)
(1.3310497447814544, 5.150849779261364)
(-5.999842870839895, -7.040290727898819)
(-1.531382124934824, 7.167321885012921)
(1.914199928823514, 8.38859053719191)
(2.654848715798277, -1.335040936180798)
(-3.2328719393873566, 1.451944226876174)
(-1.571957238440671, -1.424355701197502)
(-1.2719766511749988, 6.3082323258613044)
(0.18143420353567485, -1.9918937131252807)
(4.427496372208669, 1.6441391317261385)
(-1.8961941823341775, 0.9426398710391144)
(-2.647558742943956, -6.983236535132262)
(5.401379132401406, -7.448015347461949)
(-1.9278987960382405, 5.899579614401663)
(7.631138249653272, 7.945307844972092)
